1651190400000,1.12100000,1.12700000,1.11700000,1.12500000,9719.51000000,1651193999999,10899.06997000,66,4105.75000000,4604.70711000,0
1651194000000,1.12400000,1.12400000,1.11600000,1.11600000,26602.22000000,1651197599999,29821.75640000,53,21735.51000000,24369.16555000,0
1651197600000,1.11600000,1.11900000,1.10000000,1.10300000,96621.15000000,1651201199999,106711.04568000,290,11250.20000000,12456.03730000,0
1651201200000,1.10300000,1.12300000,1.10300000,1.11500000,60847.35000000,1651204799999,67438.35735000,297,29935.85000000,33267.55203000,0
1651204800000,1.11400000,1.11400000,1.07900000,1.10000000,156639.22000000,1651208399999,171770.36515000,616,32083.85000000,35121.35700000,0
1651208400000,1.10100000,1.10300000,1.08800000,1.09400000,20438.22000000,1651211999999,22363.12227000,170,5734.36000000,6291.89566000,0
1651212000000,1.09100000,1.10000000,1.08800000,1.09800000,51201.77000000,1651215599999,56239.63844000,187,15304.57000000,16787.85023000,0
1651215600000,1.09800000,1.10200000,1.09300000,1.09800000,13703.02000000,1651219199999,15040.29603000,144,5554.78000000,6100.87721000,0
1651219200000,1.09600000,1.10300000,1.08500000,1.08900000,29391.94000000,1651222799999,32180.84296000,211,17709.25000000,19423.21894000,0
1651222800000,1.08900000,1.10400000,1.07600000,1.07800000,87852.22000000,1651226399999,95544.89265000,523,35056.50000000,38151.86081000,0
1651226400000,1.07800000,1.08400000,1.06200000,1.06600000,23774.43000000,1651229999999,25506.49364000,208,10604.37000000,11407.15440000,0
1651230000000,1.06600000,1.09800000,1.05300000,1.05700000,53562.55000000,1651233599999,56966.76022000,405,25257.24000000,26956.13252000,0
1651233600000,1.05700000,1.08600000,1.05300000,1.07300000,57184.16000000,1651237199999,61471.40759000,447,36003.17000000,38714.24472000,0
1651237200000,1.07000000,1.08900000,1.05800000,1.07100000,64087.05000000,1651240799999,68594.66350000,462,29665.43000000,31807.09856000,0
1651240800000,1.06700000,1.07000000,1.03800000,1.04000000,47784.71000000,1651244399999,50184.89147000,293,6292.98000000,6636.79848000,0
1651244400000,1.03900000,1.04600000,1.03000000,1.04000000,40399.79000000,1651247999999,41903.61276000,230,17815.06000000,18509.54811000,0
1651248000000,1.04000000,1.04300000,1.02200000,1.03500000,35206.88000000,1651251599999,36396.68351000,252,16646.39000000,17235.86264000,0
1651251600000,1.03700000,1.06200000,1.03700000,1.04700000,39487.26000000,1651255199999,41403.22746000,259,24168.25000000,25336.99739000,0
1651255200000,1.04700000,1.04700000,1.02400000,1.03300000,35634.85000000,1651258799999,36856.68289000,194,14676.68000000,15213.70016000,0
1651258800000,1.03500000,1.03700000,1.02100000,1.02700000,58848.91000000,1651262399999,60545.19747000,279,28723.68000000,29611.95325000,0
1651262400000,1.03100000,1.03700000,1.02100000,1.03200000,28742.55000000,1651265999999,29578.54484000,147,11430.35000000,11781.39951000,0
1651266000000,1.03400000,1.04000000,1.03100000,1.04000000,10641.52000000,1651269599999,11026.49824000,49,4761.15000000,4937.90386000,0
1651269600000,1.04100000,1.04200000,1.03700000,1.03900000,3020.33000000,1651273199999,3144.37278000,27,2745.69000000,2859.46382000,0
1651273200000,1.04100000,1.04400000,1.03300000,1.03700000,5973.45000000,1651276799999,6197.76128000,61,2532.00000000,2628.09276000,0
